Epoch,totalError
0,2.2315127404240833
1,2.184584379854297
2,2.1684176721338027
3,2.1596599599183897
4,2.132882117322507
5,2.11488953434343
6,2.1145205332774055
7,2.117894100556673
8,2.120733673625711
9,2.123665763319451
10,2.1245208737029144
11,2.1233232190014926
12,2.12266848997533
13,2.123549786088983
14,2.125091990179862
15,2.1264860184128773
16,2.1273831022670984
17,2.1276742234695774
18,2.12758529761221
19,2.12752797668779
20,2.1277403272242608
21,2.1282016960879853
22,2.1287813815004784
23,2.1293581387745153
24,2.129869219932309
25,2.1303242161821316
26,2.1307755413835934
27,2.131267442036682
28,2.1318095229294345
29,2.1323833076943077
30,2.132961072782114
31,2.1335211653877293
32,2.134052786507518
33,2.134547458088309
34,2.134981017612394
35,2.1352936676637992
36,2.135371297041466
37,2.1350234721532058
38,2.1339464792320775
39,2.1316533793856154
40,2.1273463173760976
41,2.1197002496713284
42,2.1065309987423997
43,2.084371058939989
44,2.0481659607741047
45,1.9917308664923463
46,1.9099163534784205
47,1.8017988307284625
48,1.6691469428137282
49,1.5039754407482637
50,1.2781854865279496
51,0.9845231332921549
52,0.6895321810175831
53,0.436909251240547
54,0.26187580232948937
55,0.15877928963545654
56,0.10078664461399489
57,0.068259251164727
58,0.0495032026040012
